📡全部频道,#genre#
厦门卫视,rtsp://58.22.135.9:554/PLTV/88888909/224/3221225706/10000100000000060000000000391859_0.smil

📡卫视频道,#genre#
东南卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225983/10000100000000060000000004316570_0.smil
北京卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225692/10000100000000060000000000390475_0.smil
东方卫视,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225688/10000100000000060000000000390279_0.smil
湖南卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225695/10000100000000060000000000390504_0.smil
江苏卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225696/10000100000000060000000000390505_0.smil
浙江卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225689/10000100000000060000000000390304_0.smil
河北卫视,rtsp://58.22.135.12:554/PLTV/88888909/224/3221225714/10000100000000060000000000401011_0.smil
广东卫视,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225686/10000100000000060000000000390277_0.smil
山东卫视,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225687/10000100000000060000000000390278_0.smil
湖北卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225691/10000100000000060000000000390400_0.smil
深圳卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225981/10000100000000060000000004308954_0.smil
黑龙江卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225694/10000100000000060000000000390477_0.smil
贵州卫视,rtsp://58.22.135.11:554/PLTV/88888909/224/3221225974/10000100000000060000000003964019_0.smil
安徽卫视,rtsp://58.22.135.9:554/PLTV/88888909/224/3221225685/10000100000000060000000000390210_0.smil
天津卫视,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225690/10000100000000060000000000390378_0.smil
四川卫视,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225715/10000100000000060000000000401042_0.smil
江西卫视,rtsp://58.22.135.5:554/PLTV/88888909/224/3221225716/10000100000000060000000000401043_0.smil
辽宁卫视,rtsp://58.22.135.9:554/PLTV/88888909/224/3221225684/10000100000000060000000000390192_0.smil
重庆卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225713/10000100000000060000000000401010_0.smil
云南卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225752/10000100000000060000000000428648_0.smil
河南卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225725/10000100000000060000000000401166_0.smil
海南卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225711/10000100000000060000000000400978_0.smil
广西卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225712/10000100000000060000000000400979_0.smil
陕西卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225724/10000100000000060000000000401165_0.smil
青海卫视,rtsp://58.22.135.6:554/PLTV/88888909/224/3221225719/10000100000000060000000000401068_0.smil
宁夏卫视,rtsp://58.22.135.11:554/PLTV/88888909/224/3221225726/10000100000000060000000000401167_0.smil
吉林卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225717/10000100000000060000000000401066_0.smil
山西卫视,rtsp://58.22.135.10:554/PLTV/88888909/224/3221225721/10000100000000060000000000401102_0.smil
甘肃卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225718/10000100000000060000000000401067_0.smil
内蒙古卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225720/10000100000000060000000000401101_0.smil
新疆卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225723/10000100000000060000000000401133_0.smil
兵团卫视,rtsp://58.22.135.7:554/PLTV/88888909/224/3221225707/10000100000000060000000000391858_0.smil
西藏卫视,rtsp://58.22.135.8:554/PLTV/88888909/224/3221225722/10000100000000060000000000401132_0.smil
大湾区卫视,rtsp://58.22.135.13:554/PLTV/88888909/224/3221225781/10000100000000060000000001425242_0.smil
三沙卫视,rtsp://58.22.135.11:554/PLTV/88888909/224/3221225804/10000100000000060000000001515181_0.smil

📡凤凰卫视,#genre#
凤凰资讯,http://113.64.145.195:8081/hls/36/index.m3u8
凤凰资讯,http://ax.micaesoft.com/YMitv/YMITV_CN_ifengNEW.m3u8
凤凰资讯,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv
凤凰资讯,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226546/index.m3u8
凤凰资讯,http://110.72.70.243:8181/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.46:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://110.72.68.189:8181/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.95:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.48:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://180.143.83.235:8181/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://171.108.239.92:8181/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
凤凰资讯,http://113.64.145.141:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.108:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.251:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.244:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.205:8081/hls/36/index.m3u8
凤凰资讯,http://183.1.251.197:8081/hls/36/index.m3u8
凤凰资讯,http://183.1.251.238:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.84:8081/hls/36/index.m3u8
凤凰资讯,http://183.1.251.35:8081/hls/36/index.m3u8
凤凰资讯,http://113.64.145.95:8081/hls/36/index.m3u8
